review_text,label,date,app_version
sangat bagus,1,2026-01-06 18:59:47,2.0.4
"ambil foto diri error, loading lama dan lemot",0,2026-01-06 15:33:05,2.0.4
aplikasi bikin stressss...mau masuk ribet lg..isi data dll,0,2026-01-06 14:51:18,2.0.4
"pelayannya g ada, saya udah coba ajukan ulang cetak KK g di ACC,buat apa bikin aplikasi kalau giliran masyarakat butuh bantuan g direspon!",1,2026-01-06 14:40:48,2.0.4
maksud tujuan nya bagus. tapi kebanyakan aplikasi pemerintah. Tidak bisa ngapa2in di aplikasi ini. request cetak kartu tidak ada tanggapan. untuk apa disediakan layanan itu.,0,2026-01-06 13:30:05,2.0.4
"sering login ulang dan daftar lagi mengisi data seperti awal daftar, sampai akhirnya di aplikasi dikatakan pin saya salah berulang - ulang akhirnya harus menunggu 1 jam... tolong developer aplikasi, dibaca komentar para pengguna/; penduduk NKRI",0,2026-01-06 12:58:53,2.0.4
"aplikasi cacat susah diakses nya ribet, kalo buat aplikasi niat dikit lah, masa abis update ga bisa login lagi padahal dari dulu udah daftar ini lagi ada kepentingan mendesak malah ada hambatan kek gini, kecewa sih, dikecewain negara sendiri",0,2026-01-06 12:54:24,2.0.4
"Dengan adanya IKD ini kita sudah resmi menjadi penduduk resmi dan tercatat lewat server satelit Negara Kesatuan Republik Indonesia dan tentunya Penduduk dunia, tapi kadang koneksi server pusat terputus karena dihack lah....",1,2026-01-06 10:51:35,
lumayan ok,1,2026-01-06 10:16:58,2.0.4
gk ada menu yg ditampilkan,0,2026-01-06 09:49:16,2.0.4
proses nya lambat alias lemot sangat . masih mending yang dulu sebelum di update.. yang dulu paket kumplit KTP istri & data keluarga enak langsung kebuka Sekarang mah ribet .. padahal menurut saya cukup di kepala keluarga aja registrasi nya selebihnya data keluarga kebuka semua nya ..kaya dulu lagi enak .. ini saya pas saya butuh KTP istri g ke buka .. percumah ..,0,2026-01-06 09:23:56,2.0.4
mengajukan ganti pendidikan sudah hampir 2 minggu masih belum di proses sama sekali,0,2026-01-06 09:21:23,2.0.4
"tak bisa login, tiap mau login selalu data tak ditemukan dan diarahkan untuk registrasi terud",0,2026-01-06 09:09:39,
"tampilan UI cukup menarik namun ada 2 problem yg saya dapati: 1. tombol back langsung keluar aplikasi, bukan kembali ke menu sebelumnya 2. fitur download dokumen tidak ada, ini sangat menyulitkan pengguna mohon untuk developer segera menangani masalah ini",1,2026-01-06 08:26:36,2.0.4
ribet 😑,0,2026-01-06 08:16:54,2.0.4
Kami dan Semua Masyarakat mungkin Perlu dan penting terkait Kemudahan ini akan tetapi butuh Akses untuk melakukan Perubahan Data Identitas .Membuat Identitas Baru intinya Butuh Akses yang lebih Gampang,1,2026-01-06 07:40:40,
"CAPEK masukin PIN,mau buka apa² minta pin.capek deh",0,2026-01-06 06:03:28,
kok malah ndag bisa dibuka ini gimana,0,2026-01-05 23:10:51,2.0.1
kadang pas di buka hilang kita harus masukin lagi no nik nya,1,2026-01-05 21:47:32,2.0.4
"hari ini sy update ktp,di kecamatan pondok gede,Bekasi,Senin,5januari 2026..proses cepat,,,TDK ada kendala..m kasih atas pelayanannya🙏🙏",1,2026-01-05 20:58:00,2.0.4
penipuan hati hati,0,2026-01-05 16:04:38,
alhamdulillah aman dan lancar smua data sya pkai ikd dan sklipun kt ada dta terblokir sdh bs di urus kembali,1,2026-01-05 12:24:12,2.0.4
bagus saran saya beberapa pelayanan bisa ditambahi biar kita tidak perlu mengantri terlalu lama,0,2026-01-05 11:31:46,2.0.4
ujung ujung ke duscapil. online bukan nya lebih mudah malah sama aja.. emang agak lain..,0,2026-01-05 10:39:48,
sip sangat membantu,1,2026-01-05 10:38:40,2.0.4
pelayanan buruk masak mau ngubah foto waktu kecil ke foto dewasa gak bisa #magelang,0,2026-01-05 10:01:23,2.0.4
"kita tidak bisa download dokumen, contohnya Kartu Keluarga yang mana untuk sekarang pasti rata2 tercecer atau bahkan robek dan bisa jadi hilng baik yang foto copy atau bhkan aslinya. Di aplikasi memang ada tapi sayangnya cmn bisa di lihat tdk bisa di download. Itu sih kurangnya.",0,2026-01-05 09:39:47,
"saya sudah daftar dan scan QR Code, semuanya oke tapi mendadak hilang dan harus daftar ulang. parah sih ini. kenapa tidak otomatis terdaftar? mohon diperbaiki aplikasinya, kalau seperti ini justru merepotkan masyarakat. terima kasih",0,2026-01-05 08:46:18,2.0.4
"aplikasi sudah bagus, hanya saja saat hari libur tidak bisa di akses. mohon agar aplikasi dpt d akses d semua hari baik hari kerja maupun libur.",0,2026-01-05 08:40:46,2.0.4
aneh,0,2026-01-05 06:58:35,
mohon bantuannya ketika saya login kembali setelah aplikasi terhapus beberapa bulan saya tidak bisa login karna diminta memasukkan PIN.,0,2026-01-05 01:13:14,2.0.4
good,1,2026-01-04 23:12:02,2.0.4
cuma mau daftar online ke dukcapil ke menu pelayanan aja lemot banget banget...,0,2026-01-04 21:41:32,2.0.4
elek banget koyo mbelek,0,2026-01-04 21:02:27,2.0.1
"Setiap buka aplikasi, harus login terus, sepertinya Indonesia belum siap dengan indentitas berbasis digital",0,2026-01-04 20:01:36,2.0.4
"dari awal pendaftaran sudah ribet, tidak membuat masyarakat jadi mudah mengurus dokumen malah tambah sulit dan ribet.",0,2026-01-04 18:34:10,
Mantap Aplikasi Lengkap,1,2026-01-04 14:39:42,
ko katepe digital ku ngk bisa di buka y bg,1,2026-01-04 14:37:46,
"apk nggak berkualitas. setiap mau log in jaringan selalu terputus. wifi full ngebut tetep terputus. mau nya apa sih nih apk . diupdate iya , giliran mau digunain ga bisa.",0,2026-01-04 14:36:11,2.0.4
kenapa tiba 2 ini aplikasi ga kompatible untuk hp anda .,0,2026-01-04 14:25:32,
kenpa g bisa login nik udah pin nyh kenpa salah mulu,0,2026-01-04 14:21:24,
aplikasi pemerintah tapi sering error.. parah,0,2026-01-04 14:15:21,2.0.4
"ada aplikasi tetap menyusahkan tidak berguna, saya kira bakal mempermudah untuk bisa daftar online nyatanya harus mindai kode qr 🤣",0,2026-01-04 13:40:18,2.0.4
"Aplikasi lelet, buka akun saja lama banget",0,2026-01-04 13:35:00,2.0.4
"gak ada bedanya sama apk yang lama.pin lama udah dimasukin tetep aja dianggap salah terus.diurus ke kelurahan,kelurahannya juga gak bisa apa² nganggepnya bapak gua mungkin gaptek (walaupun emang bener sih gaptek) padahal 3 mingguan setelah daftar di update sebelumnya juga masih bisa itu pinnya.udah mending ktp fisik buat apa sih ktp digital dikira semua orang udah dipastiin punya hp?",0,2026-01-04 12:59:31,
"ga terlalu berekspektasi tinggi terkait aplikasi . mending pake calo mudah, cepat, gak bikin emosi dan nggak ribet",0,2026-01-04 11:52:53,
"Mau buat layanan tapi tidak terhubung ke server Sekelas pemerintah pusat tapi web nya down, banyak bug",0,2026-01-04 11:37:18,2.0.4
"aplikasi sangat jelek plis,harus nya diperbaiki yang g jelas",0,2026-01-04 10:17:59,
bagus dan cepat baguss dan sekarang lagi tidak bisa,1,2026-01-04 10:06:04,2.0.4
selamat siang kak mohon untuk di cekkan aplikasi ikd tidak bisalogi,0,2026-01-04 10:04:07,2.0.4
"Aplikasi parah, mau dibuka malah gak bisa! udah masukin pin tetep aja gak bisa!",0,2026-01-04 10:00:18,2.0.4
"punya saya tidak bisa masuk terus, eror terus. harus uninstal dan download apk terus",0,2026-01-04 09:57:22,2.0.4
Error terus data saya hilang dan ini yang paling di takutkan semua data hilang dan bisa jadi di gunakan orang orang yang tidak bertanggung jawab nantinya,0,2026-01-04 09:11:21,2.0.4
"Aplikasi ini awalnya sangat membantu, tetapi setelah update terbaru justru sulit digunakan. Login sering loading terus padahal jaringan bagus. Mohon pengembang memperbaiki bug dan stabilitas aplikasi, karena aplikasi ini sangat penting untuk pelayanan administrasi kependudukan.",0,2026-01-04 06:55:57,2.0.4
Alhamdulillah akhirnya sudah bisa masuk,1,2026-01-04 06:42:06,2.0.4
mau login ulang sandi sudah benar tapi gagal terus,0,2026-01-04 06:29:00,2.0.4
"ada yg IKD nya ga bisa dibuka?, tau ga kenapa ga bisa di buka",1,2026-01-04 04:13:17,2.0.4
punya ku gk bisa msuk,0,2026-01-04 03:27:31,2.0.4
"sulit di akses, mau buka sulit bacaan mohon di ulang rerus, payah",0,2026-01-03 23:36:21,2.0.4
apk gak jelas udah punya akun pin gk bisa Mulu tolol,0,2026-01-03 20:49:52,2.0.4
Sangat Bagus,1,2026-01-03 20:36:09,2.0.4
aplikasi tidak bisa dibuka terjadi kegagalan koneksi terputus,0,2026-01-03 20:01:04,2.0.4
"Bagus tapi ribet suka error terus, padahal sudah punya akun",0,2026-01-03 19:28:35,2.0.4
aplikasi pemerintah itu sangat-sangat tidak bergunaaa,0,2026-01-03 18:59:34,
tidak bisa dipake,0,2026-01-03 18:45:33,2.0.4
wkwk burik,0,2026-01-03 17:50:18,
jelek.. mau masuk aja susah semua udah diisi benar sy user dr lama begitu logo sudah ganti malah gak bisa masuk aplikasi gk niat tapi ujung ujungnya nnti disuruh wajib pake benerin dlu dan permudah jangan nanti nya org yg sudah terdaftar mesti balik lagi ngantri ke dukcapil gara2 mau benerin ini..,0,2026-01-03 11:42:16,2.0.4
"aplikasi ini seharusnya dibuat untuk mempermudah pengguna agar efisien dalam mengurus data², jaman sudah berubah semuanya bisa diakses lewat ponsel yang menurut saya semua sudah canggih untuk urusan data seharusnya bukan hal yang sulit karna semua bisa di akses, kenapa sudah ada aplikasinya tetap harus datang hanya buat bikin akun. kalian ini emang sukanya yang ribet².",0,2026-01-03 11:36:28,
"aplikasi payah...sdh punya akun mau login mesti isi data terus, dan seriap input pin selalu gagal ... maklum aplikasi punya pemertintah selalu bermasalah",0,2026-01-03 11:29:35,
"Aplikasi sangat penting bisa untuk mengurus KTP, KSK dll. pelayanannya juga lengkap dan bagus.",1,2026-01-03 11:22:14,2.0.4
banyak bug dongo,0,2026-01-03 09:56:36,2.0.4
Nguri nguri / melestarikan seni budaya di kab. Banyuwangi,1,2026-01-03 03:59:29,2.0.4
"Nama aplikasi nya Digital, tapi untuk proses pendaftaran tetap harus menggunakan offline (luring) , dimana digital nya. Berilah kemudahan akses masyarakat untuk menggunakan aplikasi buatan pemerintah.",0,2026-01-03 02:42:55,2.0.4
Kok tidak bisa di buka,1,2026-01-02 22:10:49,
bagus,1,2026-01-02 19:58:35,2.0.4
ga bisa di buka ko aneh ya aku pake wifi tp ga bisa ke buka,0,2026-01-02 19:57:39,2.0.4
aplikasi gagal,0,2026-01-02 18:24:53,2.0.4
"jelek, masa harus daftar di depan petugas kalo belum ada akun, justru sekarang jaman online boss, kebayang kemana mana jakarta itu harus perlu 2 - 3 jam, bolak balik 4 -6 jam, terus antri, terus petugas istirahat, busukk aplikasinya",0,2026-01-02 13:58:02,
kenapa saya ga bisa verifikasi No PIN sedangkan saya sudah terdaftar,0,2026-01-02 13:53:27,2.0.4
"jelek,harusnya di tambah fitur ganti foto,ubah golongan darah,jdi engga perlu ke dukcapil lagi tampilan kurang ,padahal apk pemerintah tapi sangat kurang",0,2026-01-02 13:10:09,
"dari awal daftar sampe skr mau akses menu pelayanan cuma muter2 doang loading ga selesai2. di tungguin seharian tetep aja loading, coba isi kuota, pake wifi tetep cuma loading aja. gini amat apk pemerintah.. tolong dong di sediain apk ini kan buat mempermudah pelayanan. tp ga ngebantu amat.",0,2026-01-02 12:37:34,2.0.4
"tgl 31 desember 2025 saya uda isi Data ke Capil, uda dapat Pin klo mau masuk ke aplikasi IKD ,hari ini tgl 2 saya mau masuk tapi tidak bisa ,ada tulisan terjadi kegagalan koneksi terputus. kalau tidak bisa di gunakan buat apa mintak masyrakat unduh aplikasih ini, sampai antri 2 hari di kelurahan karna ramai.",0,2026-01-02 11:42:15,2.0.4
Seperti biasa aplikasi pemerintah pasti bobrok.. Saya yakin ini dana yang digelontorkan sekian Miliar Rupiah tapi yang diterima pihak pengembang aplikasi gak sampe segitu 🤣,0,2026-01-02 11:10:30,2.0.4
sangat buruk,0,2026-01-02 09:44:16,
"aplikasi gajelas, udh masukin biodata valid malah keterangan ga valid. bajet gede bikin aplikasi zonk",0,2026-01-02 08:13:31,2.0.4
masih birokrasi sekali. DIGITAL tapi harus ANALOG. update aplikasi data2 hangus dan harus verifikasi lagi di dukcapil.,0,2026-01-02 07:47:01,2.0.4
buat apa pake aplikasi kalo misal daftar juga harus offline udah ke jaman batu aja. padahal ka bisa verifikasi wajah kalo misal takut data disalahgunakan,0,2026-01-01 22:44:00,2.0.4
"Memudahkan? Maaf dari mananya? Jangan jauh-jauh dulu deh. Minimal pas awal banget mau aktivasi aja, katanya ""digital/online bisa diakses dimana saja kapan saja"". Faktanya, cuman mau aktivasi akun doang harus berhadapan sama operator (scan qr code lah.. Ini lah.. Itu lah).. Di awal pengisian identitas kan kita udah nyantumin email, kenapa si kode aktivasi ini gk dikirim langsung aja ke email kita, gk mempertimbangkan yg rumahnya jauh/susah akses kah? Ribet banget. Mohon perbaikannya.",0,2026-01-01 20:52:20,2.0.4
serba online tapi tetap ke dukcapil untuk aktivasi.,0,2026-01-01 19:44:23,
mohon di tambahkan fitur pengajuan penambahan anggota keluarga ( anak baru lahir).tks,0,2026-01-01 17:30:06,2.0.4
ini kayaknya teknologi dari pusatnya memang belum layak,0,2026-01-01 17:27:05,
"Di era digital begini masih aja daftar offline, pinjol aja ga usah offline, online langsung cair",0,2026-01-01 15:48:58,2.0.4
"setelah di update dari versi yg lama ke versi yg terbaru, kok malah ngisi data dari awal lagi??? scan barcode lagi ke disdukcapil nya. parah.",0,2026-01-01 07:10:30,2.0.4
"mudah, ga ribet",1,2026-01-01 01:33:22,2.0.4
mantap,1,2025-12-31 20:22:33,
"gak bisa login, mentok di swafoto😞",0,2025-12-31 17:15:40,2.0.4
Praktis dan cepat...,1,2025-12-31 16:10:45,2.0.4
setelah update aplikasi tidak bisa di jalankan di HP saya. harusnya di permudah lah untuk di semua perangkat.,0,2025-12-31 15:39:38,2.0.1
oke,1,2025-12-31 13:53:20,2.0.1
"kasih bintang 1 kecewa bngt sering eror lagi di butuhin malah GK bisa di buka,jaujauh cuman di suruh instal aplikasi sampah",0,2025-12-31 13:41:44,2.0.4
sangat membantu,1,2025-12-31 12:20:13,
baru di download minta identitas tapi ga bisa di buka aplikasi ga jelas..🤦‍♂️🤦‍♂️,0,2025-12-31 12:03:34,
siap,1,2025-12-31 11:59:18,2.0.4
"nggak bisa masuk, alasan minta di izinkan terus padahal udah ada izin semua",0,2025-12-31 11:55:36,2.0.4
ruwet,0,2025-12-31 11:09:55,
"Not aplicable in all institution, i want to use my id for another registration and cant use the barcode, you cant change the paswords, if you forget the pasword you cant open it anymore,",0,2025-12-31 10:16:53,2.0.4
data Nik rakyat Indonesia Uda di jual ke negara asing makanya di bikin ribet,0,2025-12-31 10:16:22,
mudah di akses,1,2025-12-31 09:47:49,2.0.4
eror trus,0,2025-12-31 09:43:48,2.0.4
"buwat apa ada aplikasi. daftar akun aja harus ke petugas. kagak ada efektifnya sama sekali. harusnya bisa daftar akun di rumah, tidak perlu di depan petugas.",0,2025-12-31 09:25:33,2.0.4
"sampah,buat apa aplikasi online kalau daftarnya juga harus offline",0,2025-12-31 08:36:07,
SAYA SUDAH PUNYA AKUN TAPI SAYA LUPA SAMA PIN VERIFIKASI NYA JADI SAYA GAK BISA LOGIN. TOLONG KASIH SAYA PIN VERIFIKASI YANG BARU KARNA SAYA LUPA PIN VERIFIKASI YANG LAMA!!!,0,2025-12-31 07:23:01,
ok,1,2025-12-31 01:57:24,
samsung a02s tidak kompatibel gimana ni kan udh di update versi androidnya mentok ke 12,0,2025-12-31 00:38:17,
percuma ada aplikasi kalo harus daftar offline.,0,2025-12-30 23:15:16,
android versi 9 sudah tidak bisa sama juga suruh beli hp baru,0,2025-12-30 22:12:03,
apk gk berguna,0,2025-12-30 22:03:30,
Bagus,1,2025-12-30 21:59:09,2.0.1
"di awal dipergunakan mudah tapi sejak di suruh masuk dgn segala macam data diri serta foto wajah.... makin gak jelas ini aplikasi benar benar membuat darah tinggi naik, saat akan di gunakan mendesak kalau niat membuat aplikasi itu yang benar dan dibuat mudah dalam mengakses nya",0,2025-12-30 20:19:14,2.0.4
bagus,1,2025-12-30 19:56:54,2.0.1
sangat membantu bagi warga indonesia,1,2025-12-30 17:57:04,
sangat membantu,1,2025-12-30 16:40:19,2.0.4
parah nih aplikasi masuk dengan pin hari ini bisa. besok masuk dengan pin yang sama tidak bisa keterangan data tidak terdaftar. aneh bagt,0,2025-12-30 16:31:17,
percuma ada aplikasi pak . kalau sistem nya masih ribet .untuk buat akun aja luar biasa ribet nya . gimana sih . gak ada yang bagus aplikasi pemerintah ini . negara sebesar ini buat aplikasi bagus aja masih belum bisa,0,2025-12-30 16:21:10,
tolong untuk di tambah kan menu unduh dokumen supaya mempermudah kita dalam hal pengurusan Administrasi,0,2025-12-30 13:53:04,2.0.4
"percuma bikin aplikasi juga, tapi ujung ujungnya daftar tetep ofline",0,2025-12-30 13:37:06,2.0.4
"fungsi IKD apa sih? mengurus berkas di kantor POS, POS hanya mau KTP asli. tidak menerima IKD. saya bikin IKD juga karena bikin KTP asli tidak kunjung jadi, dengan alasan blangko habis, data foto belum ditarik. Jadi hanya pakai surat keterangan yg harus update setiap 6 bulan.",0,2025-12-30 12:01:06,2.0.4
apk parah...bener semua nya malah tidak bisa login,0,2025-12-30 10:31:08,2.0.4
"dari awal mengunduh aplikasi ini belum berguna apapun,karena tidak bisa membuka pelayanan terus loading sampai sekarang masih loading gk bisa d buka fitur pelayanan nya",0,2025-12-30 10:05:13,2.0.4
kalau mau login bikin akun ke ducapil dl,0,2025-12-30 09:19:06,
sangat membantu sekali,1,2025-12-30 07:51:21,2.0.4
"saya menggunakan Samsung A02.saya tidak bisa mendownload aplikasi ini.di hp saya ada tulisan ""aplikasi ini tidak berfungsi untuk perangkat anda"". aplikasi yang lama masih ada.tapi di minta pembaharuan.tolong aplikasi jangan di rubah rubah.",0,2025-12-30 07:22:47,2.0.4
"Aplikasi apaan ini. Cuma bisa lihat ktp doang. Data lainnya gak ada. Gini kok mau diwajibkan. Gak malu apa... Udah gitu sekarang kalau lama gak akses, begitu mau masuk lagi, ribet ya bukan main. Kayak daftar baru aja. Sekelas layanan publik kok bikin aplikasi ecek-ecek...",0,2025-12-30 07:12:38,2.0.4
ok,1,2025-12-29 20:56:14,2.0.4
"apk negara gmna sih ini, masa kegagalan koneksi terus menerus padahal sinyal bagus dll bisa diakses tpi di ikd saja tidak bisa hadeuh , tolong di perbaiki deh ya",0,2025-12-29 20:42:48,2.0.4
tidakk bisa masuk ..koneksi gagal padahal internet bagus ..,0,2025-12-29 20:22:36,2.0.4
saya udah daftar ikd di dukcapil tapi gak bisa di buka..udh saya hapus saya instal lgi gak bisa padahal saya dah punya akun ikd pin nya jugak benar tapi gak bisa ke buka,0,2025-12-29 20:20:30,2.0.4
baik,1,2025-12-29 20:19:07,
sangat membantu bagus,1,2025-12-29 20:15:05,2.0.4
bagaimana cara memperbarui lupa pin,1,2025-12-29 19:57:35,2.0.4
saya kasih 2 bintang aj krn udh lama saya pake tapi tiba tiba ga bs di buka lngsung ngilang,0,2025-12-29 19:46:13,
dibuat apk ini bertujuan mempermudah agar bisa mengurus mandiri secara online dan tidak bolak balik ke kantor tapi malahan harus juga luring datang ke kantor. jadi apk ini sekedar formalitas?,0,2025-12-29 19:14:14,2.0.4
saya kasih 1 bintang karna tidak sesuai,0,2025-12-29 19:12:33,2.0.4
"Ini update ya? Kok aneh, minta akses lagi??? Apa sih ini update lagi Des 2025.. koneksi putus terus",0,2025-12-29 19:11:15,2.0.4
"sering error,jdi males makenya",0,2025-12-29 19:08:43,2.0.4
Sangat Membantu,0,2025-12-29 16:03:15,2.0.4
versi ini hp saya aneh tidak bisa download,0,2025-12-29 14:15:23,
"sdh tdk bisa lg login krn aplikasi d perbahrui, 😌😌",0,2025-12-29 12:30:51,2.0.4
mantabbbb,1,2025-12-29 12:05:09,2.0.4
"Pengajuan pindah domisili di aplikasi ikd normalnya berapa lama yah, sudah pengajuan dari tanggal 23 sampai skrng tdk ada updatenya sampai skrng",0,2025-12-29 10:48:16,2.0.4
"setelah update baru muncul malah gak bisa install, gak support katanya, padahal hp saya diatas spek minimal, malah hp istri saya yang lama dengan spek dibawah saya bisa install",0,2025-12-29 09:54:32,2.0.4
